power,cpu,memu,netuin,netuout,disuin,disuout
4.74049180328,0,4,0,0,0,0
5.1765,19,4,0,0,0,0
5.08895,25,4,0,0,0,0
4.386,4,4,0,0,0,0
7.497,36,4,0,0,0,0
5.4264,50,4,0,0,0,0
4.386,9,4,0,0,0,0
5.661,54,4,0,0,0,0
5.6151,75,4,0,0,0,0
4.947,10,4,0,0,0,0
6.018,43,4,0,0,0,0
5.8752,100,4,0,0,0,0
5.151,46,4,0,0,0,0
4.641,1,4,0,0,0,0
5.01075,18,4,0,0,0,0
5.12125,25,6,0,0,0,0
5.06721428571,25,7,0,0,0,0
5.14007142857,25,9,0,0,0,0
5.08016666667,25,10,0,0,0,0
5.287,25,5,0,0,0,0
5.264475,25,8,0,0,0,0
6.018,24,8,0,0,0,0
4.4285,3,4,0,0,0,0
5.3295,34,4,0,0,0,0
5.151,50,5,0,0,0,0
6.3495,50,8,0,0,0,0
5.2275,50,9,0,0,0,0
5.1595,50,10,0,0,0,0
4.488,14,4,0,0,0,0
5.508,75,17,0,0,0,0
5.5335,75,23,0,0,0,0
6.528,75,5,0,0,0,0
5.457,75,8,0,0,0,0
5.508,75,24,0,0,0,0
5.865,75,21,0,0,0,0
5.4825,75,22,0,0,0,0
5.4825,75,19,0,0,0,0
4.794,64,4,0,0,0,0
5.763,88,25,0,0,0,0
6.018,100,19,0,0,0,0
5.559,100,15,0,0,0,0
5.6355,100,9,0,0,0,0
5.7375,100,10,0,0,0,0
6.171,100,24,0,0,0,0
5.7885,100,25,0,0,0,0
5.763,100,20,0,0,0,0
6.477,100,17,0,0,0,0
5.916,100,8,0,0,0,0
6.1455,23,4,0,0,0,0
6.36225,24,4,0,0,0,0
4.947,20,4,0,0,0,0
4.539,12,7,0,0,0,0
4.59,12,4,0,0,0,0
6.1965,24,25,0,0,0,0
5.151,25,34,0,0,0,0
4.85775,25,44,0,0,0,0
4.8705,25,54,0,0,0,0
4.947,25,31,0,0,0,0
5.8395,25,11,0,0,0,0
4.9215,25,21,0,0,0,0
5.508,25,30,0,0,0,0
5.355,25,48,0,0,0,0
5.712,24,24,0,0,0,0
4.845,25,35,0,0,0,0
5.6355,25,72,0,0,0,0
4.8705,25,74,0,0,0,0
4.896,25,13,0,0,0,0
5.4825,25,32,0,0,0,0
4.8195,25,40,0,0,0,0
4.386,13,4,0,0,0,0
6.528,21,22,0,0,0,0
4.896,25,42,0,0,0,0
4.998,25,51,0,0,0,0
6.528,25,70,0,0,0,0
4.845,25,81,0,0,0,0
4.8705,25,90,0,0,0,0
5.151,36,97,0,0,2,0
5.304,29,4,0,0,85,5
5.151,50,24,0,0,0,0
5.1,50,40,0,0,0,0
5.202,50,56,0,0,0,0
6.936,50,80,0,0,0,0
5.3295,50,97,0,0,0,0
5.712,29,32,0,0,76,7
4.998,14,3,0,0,0,6
4.51612285714,0,3,0,0,0,0
6.273,40,22,0,0,0,1
5.661,75,44,0,0,0,0
5.457,75,65,0,0,0,0
5.559,75,63,0,0,0,0
6.12,75,18,0,0,0,0
5.4825,75,39,0,0,0,0
5.457,75,59,0,0,0,0
6.1455,75,58,0,0,0,0
5.4825,75,16,0,0,0,0
5.3295,75,37,0,0,0,0
4.539,43,3,0,0,0,0
5.712,84,24,0,0,0,0
4.488,0,2,0,0,0,0
4.59,1,2,0,0,0,0
4.539,0,3,0,0,0,1
6.069,26,11,0,0,0,0
4.386,41,3,0,0,0,0
5.865,77,23,0,0,0,0
5.814,100,47,0,0,0,0
5.7375,100,71,0,0,0,0
5.967,100,98,0,0,0,0
5.304,30,48,0,0,77,10
4.5645,26,3,0,0,0,2
4.641,24,3,0,0,0,1
5.712,91,3,0,0,7,0
5.5845,43,3,0,0,23,0
5.202,17,3,0,0,23,0
4.947,6,3,0,0,22,0
5.049,9,3,0,0,24,0
4.947,6,3,0,0,24,0
5.355,3,3,0,0,24,0
5.2785,2,3,0,0,24,0
5.253,1,3,0,0,25,0
5.0745,30,3,0,0,23,0
5.457,7,3,0,0,7,0
4.59,1,3,0,0,0,0
4.5645,1,3,0,0,0,1
4.437,2,3,0,0,0,1
4.7685,3,3,0,0,0,1
6.018,8,3,0,0,0,0
5.17752,25,3,0,0,0,0
5.916,17,3,0,0,7,0
4.7175,0,3,0,0,4,0
5.1,3,3,0,0,0,7
5.1255,16,8,0,0,0,0
4.4115,11,3,0,0,0,0
4.488,1,3,0,0,0,4
4.641,3,3,0,0,0,8
5.661,4,3,0,0,0,38
4.947,19,3,0,0,0,13
5.4825,15,3,0,0,0,2
4.692,3,3,0,0,0,0
5.1255,7,3,1,0,0,0
5.00514,5,3,1,0,0,0
4.947,4,3,0,0,0,0
4.9589,3,3,1,0,0,0
4.947,8,3,1,0,0,0
5.00565,4,3,1,0,0,0
4.845,2,3,0,0,0,0
5.05628571429,6,3,1,0,0,0
5.1,5,3,0,0,0,0
4.947,6,3,0,0,0,0
